sampleid,field_rank,tumor_area,ptype_count
292,0.433436533,0.1712508,5.839388779
292,0.43498452,0.1712508,5.839388779
292,0.326625387,0.1712538,11.67857297
292,0.332817337,0.171265535,11.67504156
292,0.030959752,0.1713056,192.6381858
292,0.171826625,0.1713056,35.02512469
292,0.173374613,0.1713056,35.02512469
292,0.187306502,0.1713056,29.18760391
292,0.255417957,0.1713056,17.51256234
292,0.329721362,0.1713056,11.67504156
292,0.335913313,0.1713056,11.67504156
292,0.3374613,0.1713056,11.67504156
292,0.438080495,0.1713056,5.837520782
292,0.439628483,0.1713056,5.837520782
292,0.442724458,0.1713056,5.837520782
292,0.444272446,0.1713056,5.837520782
292,0.445820433,0.1713056,5.837520782
292,0.447368421,0.1713056,5.837520782
292,0.448916409,0.1713056,5.837520782
292,0.475232198,0.171307244,5.830223881
292,0.021671827,0.17136,204.248366
292,0.128482972,0.17136,64.1923436
292,0.452012384,0.17136,5.8356676
292,0.453560372,0.17136,5.8356676
292,0.455108359,0.17136,5.8356676
292,0.456656347,0.17136,5.8356676
292,0.340557276,0.171414,11.66765842
292,0.459752322,0.171414,5.833829209
292,0.044891641,0.1714654,163.2982514
292,0.133126935,0.1714654,58.32080408
292,0.176470588,0.1714654,34.99248245
292,0.188854489,0.1714654,29.16040204
292,0.230650155,0.1714654,23.32832163
292,0.256965944,0.1714654,17.49624122
292,0.258513932,0.1714654,17.49624122
292,0.26006192,0.1714654,17.49624122
292,0.261609907,0.1714654,17.49624122
292,0.342105263,0.1714654,11.66416082
292,0.462848297,0.1714654,5.832080408
292,0.465944272,0.1714654,5.832080408
292,0.469040248,0.1714654,5.832080408
292,0.134674923,0.1714676,58.3200558
292,0.472136223,0.1714676,5.83200558
292,0.473684211,0.17152,5.830223881
292,0.343653251,0.17157,11.6570496
292,0.066563467,0.1715742,122.3960246
292,0.178018576,0.1715742,34.97029274
292,0.232198142,0.1715742,23.31352849
292,0.476780186,0.1715742,5.828382123
292,0.478328173,0.1715742,5.828382123
292,0.479876161,0.1715742,5.828382123
292,0.481424149,0.1715742,5.828382123
292,0.482972136,0.1715742,5.828382123
292,0.191950464,0.1716252,29.13325083
292,0.193498452,0.1716252,29.13325083
292,0.345201238,0.1716252,11.65330033
292,0.19504644,0.171628,29.13277554
292,0.269349845,0.171628,17.47966532
292,0.489164087,0.171628,5.826555108
292,0.153250774,0.17168,46.59832246
292,0.27244582,0.17168,17.47437092
292,0.273993808,0.17168,17.47437092
292,0.346749226,0.17168,11.64958062
292,0.348297214,0.17168,11.64958062
292,0.492260062,0.17168,5.824790308
292,0.49380805,0.17168,5.824790308
292,0.012383901,0.1716814,244.639198
292,0.349845201,0.1717344,11.6458904
292,0.352941176,0.1717344,11.6458904
292,0.356037152,0.1717344,11.6458904
292,0.495356037,0.1717344,5.822945199
292,0.496904025,0.1717344,5.822945199
292,0.5,0.1717344,5.822945199
292,0.100619195,0.171785,93.13968041
292,0.277089783,0.171785,17.46369008
292,0.159442724,0.1717884,40.74780369
292,0.179566563,0.1717884,34.92668888
292,0.196594427,0.1717884,29.10557407
292,0.278637771,0.1717884,17.46334444
292,0.280185759,0.1717884,17.46334444
292,0.360681115,0.1717884,11.64222963
292,0.501547988,0.1717884,5.821114813
292,0.503095975,0.1717884,5.821114813
292,0.243034056,0.171793588,23.2121158
292,0.094427245,0.171822469,98.52879127
292,0.054179567,0.171842,151.3017772
292,0.198142415,0.171842,29.09649562
292,0.362229102,0.171842,11.63859825
292,0.36377709,0.171842,11.63859825
292,0.142414861,0.1718946,52.35766569
292,0.143962848,0.1718946,52.35766569
292,0.235294118,0.1718946,23.27007364
292,0.281733746,0.1718946,17.45255523
292,0.366873065,0.1718946,11.63503682
292,0.510835913,0.1718946,5.81751841
292,0.513931889,0.1718946,5.81751841
292,0.041795666,0.1718952,168.707445
292,0.284829721,0.1718952,17.45249431
292,0.181114551,0.1719448,34.89491976
292,0.018575851,0.1719488,232.6273868
292,0.085139319,0.1719488,104.682324
292,0.122291022,0.1719488,75.6039007
292,0.154798762,0.1719488,46.52547735
292,0.20123839,0.1719488,29.07842334
292,0.236842105,0.1719488,23.26273868
292,0.286377709,0.1719488,17.44705401
292,0.287925697,0.1719488,17.44705401
292,0.368421053,0.1719488,11.63136934
292,0.36996904,0.1719488,11.63136934
292,0.517027864,0.1719488,5.815684669
292,0.518575851,0.1719488,5.815684669
292,0.520123839,0.1719488,5.815684669
292,0.521671827,0.1719488,5.815684669
292,0.373065015,0.172,11.62790698
292,0.524767802,0.172,5.813953488
292,0.023219814,0.1720026,203.4852962
292,0.051083591,0.1720026,156.9743713
292,0.1625387,0.1720026,40.69705923
292,0.289473684,0.1720026,17.44159681
292,0.291021672,0.1720026,17.44159681
292,0.374613003,0.1720026,11.62773121
292,0.526315789,0.1720026,5.813865604
292,0.205882353,0.1720548,29.06050863
292,0.527863777,0.1720548,5.812101726
292,0.164086687,0.172109,40.67189978
292,0.207430341,0.1721092,29.05132323
292,0.208978328,0.1721092,29.05132323
292,0.238390093,0.1721092,23.24105858
292,0.23993808,0.1721092,23.24105858
292,0.292569659,0.1721092,17.43079394
292,0.294117647,0.1721092,17.43079394
292,0.376160991,0.1721092,11.62052929
292,0.377708978,0.1721092,11.62052929
292,0.379256966,0.1721092,11.62052929
292,0.380804954,0.1721092,11.62052929
292,0.530959752,0.1721092,5.810264646
292,0.53250774,0.1721092,5.810264646
292,0.534055728,0.1721092,5.810264646
292,0.535603715,0.1721092,5.810264646
292,0.060371517,0.1721632,139.4026133
292,0.092879257,0.1721632,98.74351778
292,0.117647059,0.1721632,81.31819111
292,0.13622291,0.1721632,58.08442222
292,0.147058824,0.1721632,52.27598
292,0.383900929,0.1721632,11.61688444
292,0.119195046,0.1722168,81.292882
292,0.165634675,0.1722168,40.646441
292,0.297213622,0.1722168,17.41990328
292,0.53869969,0.1722168,5.806634428
292,0.241486068,0.1722696,23.21941886
292,0.540247678,0.1722696,5.804854716
292,0.541795666,0.1722696,5.804854716
292,0.544891641,0.1722696,5.804854716
292,0.052631579,0.1723238,156.6817816
292,0.148606811,0.1723238,52.22726054
292,0.167182663,0.1723238,40.62120264
292,0.29876161,0.1723238,17.40908685
292,0.385448916,0.1723238,11.6060579
292,0.546439628,0.1723238,5.803028949
292,0.547987616,0.1723238,5.803028949
292,0.182662539,0.1723776,34.80730675
292,0.552631579,0.1723776,5.801217792
292,0.554179567,0.1723776,5.801217792
292,0.555727554,0.1723776,5.801217792
292,0.557275542,0.1723776,5.801217792
292,0.560371517,0.1723776,5.801217792
292,0.210526316,0.17243,28.99727426
292,0.561919505,0.17243,5.799454851
292,0.300309598,0.172431,17.39826365
292,0.563467492,0.172431,5.799421218
292,0.566563467,0.1724844,5.797625756
292,0.212074303,0.1725384,28.97905626
292,0.244582043,0.1725384,23.18324501
292,0.386996904,0.1725384,11.5916225
292,0.009287926,0.172592,272.3185316
292,0.043343653,0.172592,168.026328
292,0.247678019,0.172592,23.17604524
292,0.388544892,0.172592,11.58802262
292,0.390092879,0.172592,11.58802262
292,0.301857585,0.172645,17.37669785
292,0.391640867,0.1726992,11.58082956
292,0.393188854,0.1726992,11.58082956
292,0.007739938,0.172753,277.8533513
292,0.213622291,0.172753,28.94305743
292,0.303405573,0.172753,17.36583446
292,0.574303406,0.172753,5.788611486
292,0.30495356,0.172914,17.34966515
293,0.083333333,0.022762181,1187.772319
293,0.25,0.028391419,874.5335821
293,0.833333333,0.032491608,58.24790308
293,1,0.039541375,5.81751841
293,0.166666667,0.05422404,1004.860504
293,0.916666667,0.060162923,46.58356159
293,0.416666667,0.086548256,408.1156716
293,0.666666667,0.097320999,174.2532667
293,0.333333333,0.108347006,756.9828759
293,0.5,0.133363807,399.7867804
293,0.75,0.138530169,63.83331844
293,0.583333333,0.15227615,272.0647398
294,0.205660377,0.008698784,401.1567267
294,0.40754717,0.008773636,192.8180534
294,0.098113208,0.009067725,639.1291111
294,0.167924528,0.010504339,470.0453449
294,0.409433962,0.011439275,192.6381858
294,0.188679245,0.014500408,419.7761194
294,0.288679245,0.014940222,292.4216018
294,0.775471698,0.017749161,34.94874185
294,0.109433962,0.017753663,610.6468902
294,0.120754717,0.017831787,585.922997
294,0.19245283,0.018553082,413.9458955
294,0.496226415,0.01916571,139.5764321
294,0.039622642,0.020980262,1137.038687
294,0.581132075,0.021890921,99.3622115
294,0.381132075,0.023260705,216.1214953
